Species ID,Family,Genus,Species,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,JoinScience,JoinScience2,JoinScience2Alt
6924,CANIDAE,Atelocynus,microtis,,"Short-eared Dog, Small-eared Dog, Small-eared Zorro, Short-eared Fox",Renard à petites oreilles,"Perro de Monte, Perro de Orejas Cortas, Zorro Negro, Zorro Ojizarco",NT,,3.1,2011,decreasing,N,Atelocynus microtis,"""Atelocynus microtis""",
3753,CANIDAE,Canis,adustus,,Side-striped Jackal,Le Chacal À Flancs Rayés,,LC,,3.1,2014,stable,N,Canis adustus,"""Canis adustus""",
3744,CANIDAE,Canis,aureus,,"Golden Jackal, Asiatic Jackal, Common Jackal","Chacal Commun, Chacal Doré",Chacal,LC,,3.1,2008,increasing,N,Canis aureus,"""Canis aureus""",
3745,CANIDAE,Canis,latrans,,"Coyote, American Jackal, Brush Wolf, Prairie Wolf",,,LC,,3.1,2008,increasing,N,Canis latrans,"""Canis latrans""",
3746,CANIDAE,Canis,lupus,,"Gray Wolf, Timber Wolf, Arctic Wolf, Grey Wolf, Mexican Wolf, Plains Wolf, Common Wolf, Tundra Wolf, Wolf","Loup, Loup Gris, Loup Vulgaire",Lobo,LC,,3.1,2010,stable,N,Canis lupus,"""Canis lupus""",
3755,CANIDAE,Canis,mesomelas,,"Black-backed Jackal, Silver-backed Jackal",Chacal À Chabraque,,LC,,3.1,2014,stable,N,Canis mesomelas,"""Canis mesomelas""",
3747,CANIDAE,Canis,rufus,,Red Wolf,,,CR,D,3.1,2008,increasing,N,Canis rufus,"""Canis rufus""",
3748,CANIDAE,Canis,simensis,,"Ethiopian Wolf, Simien Jackal, Simien Fox",Loup D'Abyssinie,Lobo Etiope,EN,"B1ab(iii,v); C1+2a(i); D",3.1,2011,decreasing,N,Canis simensis,"""Canis simensis""",
4248,CANIDAE,Cerdocyon,thous,Canis thous,"Crab-eating Fox, Crab-eating Zorro, Savannah Fox, Common Zorro","Chien des bois, Renard Crabier","Zorro, Perro de Monte, Perro Sabanero, Perro-zorro, Zorra Baya, Zorro Cangrejero, Zorro Carbonero, Zorro Común, Zorro de Monte, Zorro-lobo, Zorro Patas Negras, Zorro-perro, Zorro Perruno, Zorro Sabanero",LC,,3.1,2015,stable,N,Cerdocyon thous,"""Cerdocyon thous""","""Canis thous"""
4819,CANIDAE,Chrysocyon,brachyurus,Canis brachyurus,Maned Wolf,Loup à crinière,"Aguara Guazu, Borochi, Lobo De Crin",NT,,3.1,2015,unknown,N,Chrysocyon brachyurus,"""Chrysocyon brachyurus""","""Canis brachyurus"""
5953,CANIDAE,Cuon,alpinus,Canis alpinus,"Dhole, Red Dog, Indian Wild Dog, Asiatic Wild Dog","Chien sauvage d'Asie, Cuon d'Asie",Perro Salvaje Asiático,EN,C2a(i),3.1,2015,decreasing,N,Cuon alpinus,"""Cuon alpinus""","""Canis alpinus"""
6923,CANIDAE,Dusicyon,australis,Canis australis,"Falklands Wolf, Falkland Islands Wolf",,"Zorro Antártico, Zorro-Lobo de las Malvinas , Zorro Malvinense ",EX,,3.1,2015,,N,Dusicyon australis,"""Dusicyon australis""","""Canis australis"""
82337482,CANIDAE,Dusicyon,avus,,,,,EX,,3.1,2015,,N,Dusicyon avus,"""Dusicyon avus""",
6929,CANIDAE,Lycalopex,culpaeus,Pseudalopex culpaeus,"Culpeo, Andean Fox",Culpeau,"Lobo Andino, Culpeo, Zorro Andino, Zorro Colorado, Zorro Culpeo",LC,,3.1,2016,stable,N,Lycalopex culpaeus,"""Lycalopex culpaeus""","""Pseudalopex culpaeus"""
41586,CANIDAE,Lycalopex,fulvipes,Pseudalopex fulvipes,Darwin's Fox,,"Zorro Chilote, Zorro Azul, Zorro de Chiloé, Zorro de Darwin",EN,C1,3.1,2016,decreasing,N,Lycalopex fulvipes,"""Lycalopex fulvipes""","""Pseudalopex fulvipes"""
